seconds_from_start,x,y,z,finished
33.437,574.567138671875,10.040358543395996,579.7830810546875,0
33.5,576.6761474609375,10.044866561889648,582.9160766601562,0
33.562,578.8875732421875,10.047747611999512,586.7562866210938,0
33.625,580.5582275390625,10.047354698181152,590.1925048828125,0
33.687,582.011962890625,10.045021057128906,593.7482299804688,0
33.75,583.2398681640625,10.042216300964355,597.409912109375,0
33.812,584.2490844726562,10.037606239318848,601.1115112304688,0
33.875,585.1619262695312,10.031282424926758,605.3980712890625,0
33.937,585.7839965820312,10.029695510864258,609.0245971679688,0
34.0,586.3099365234375,10.02584457397461,612.5966186523438,0
34.062,586.7611694335938,10.02138614654541,616.11181640625,0
34.125,587.12109375,10.01933479309082,619.5704345703125,0
34.187,587.3905029296875,10.022504806518555,623.5341186523438,0
34.25,587.4529418945312,10.029569625854492,626.866455078125,0
34.312,587.3040771484375,10.041607856750488,630.6665649414062,0
34.375,586.976318359375,10.0492582321167,633.8381958007812,0
34.437,586.4603271484375,10.05126953125,636.9192504882812,0
34.5,585.7554321289062,10.046582221984863,639.8984985351562,0
34.562,584.8654174804688,10.040323257446289,642.7625122070312,0
34.625,583.5989379882812,10.0342435836792,645.9413452148438,0
34.687,582.327392578125,10.032861709594727,648.5120849609375,0
34.75,580.8953857421875,10.035015106201172,650.9285278320312,0
34.812,579.0391235351562,10.039742469787598,653.539306640625,0
34.875,577.6028442382812,10.042872428894043,655.2592163085938,0
34.937,575.4556274414062,10.04488468170166,657.4546508789062,0
35.0,573.5046997070312,10.043920516967773,659.1314697265625,0
35.062,571.4677734375,10.04122257232666,660.6129760742188,0
35.125,569.0044555664062,10.037724494934082,662.0875854492188,0
35.187,566.8375244140625,10.035843849182129,663.1296997070312,0
35.25,564.6373901367188,10.035592079162598,663.9649658203125,0
35.312,562.0322265625,10.036173820495605,664.6824340820312,0
35.375,559.7568359375,10.036648750305176,665.0816650390625,0
35.437,557.4603271484375,10.037347793579102,665.2779541015625,0
35.5,555.1424560546875,10.037034034729004,665.2685546875,0
35.562,552.8004150390625,10.037603378295898,665.0492553710938,0
35.625,550.0635375976562,10.039432525634766,664.523193359375,0
35.687,547.734375,10.039015769958496,663.8436279296875,0
35.75,545.4267578125,10.034882545471191,662.9818115234375,0
35.812,543.1404418945312,10.02829647064209,661.966552734375,0
35.875,540.4823608398438,10.018810272216797,660.6465454101562,0
35.937,538.1994018554688,10.011749267578125,659.4315795898438,0
36.0,535.9035034179688,10.009257316589355,658.1585693359375,0
36.062,533.588134765625,10.01141357421875,656.83984375,0
36.125,530.854736328125,10.016708374023438,655.2791748046875,0
36.187,528.4957885742188,10.021899223327637,653.9684448242188,0
